Day	Timeslot	Room	Workshop_or_Talk	Title	Description	Owner	Second_Speaker	language	first_time_speaker	Category	slide_url	image_filename
sunday	10:00-12:00	E.HG 204	W	AI-driven Software Engineering: TDD-Guardrails for the Age of Vibe Programming	AI coding tools are transforming how engineering and data science teams work — but speed without a structure creates technical debt, regressions, and code that's hard to trust.  This workshop presents an alternative: a TDD-based guardrail framework for AI-assisted development that provides teams with a practical workflow to maintain code quality and reliability.  Participants will learn to write tests that define intent before prompting, use the red-green-refactor loop to guide and validate AI output, and catch errors early. You'll leave with a repeatable approach that makes AI a reliable collaborator — whether you're building data pipelines, APIs, or analytical models.	Stefan Trenkwalder		English, English or German				Stefan_Trenkwalder
sunday	14:00-16:00	E.HG 204	W	(Workshop) Do you know how well your model is doing? Evaluate your LLMs	Prerequisites:  - Have experience coding in Python (with Python installed in the local machine) - Basic understanding of machine learning and LLMs - Experience with Hugging Face Transformers preferred but not necessary - A Hugging Face Hub account (sign up for free) - A modern computer that can fine-turn small LLMs locally  Description:  Large Language Models (LLMs) are becoming central to modern applications, yet effectively evaluating their performance remains a significant challenge. How do you objectively compare different models, benchmark the impact of fine-tuning, or ensure your LLM responses adhere to safety guidelines (guard-railing)? This hands-on workshop addresses these critical questions.  We will begin with an essential revision of the Hugging Face Transformers library, covering basic LLM inference and fine-tuning. The core of the workshop will introduce and provide deep practice with Lighteval, an efficient and powerful LLM evaluation framework. Participants will learn how to leverage Lighteval to compare various LLMs available on the Hugging Face Hub using a range of pre-built tasks and metrics.  Finally, we will delve into advanced evaluation techniques, focusing on creating custom tasks and metrics tailored to unique, real-world application requirements. Participants will learn how to prepare custom datasets on the Hugging Face Hub and integrate them into Lighteval for precise, domain-specific evaluation. By the end of this workshop, you will possess the practical skills to rigorously evaluate, benchmark, and fine-tune your LLMs with confidence.  Outline:  Part 1  - Presentation: The importance of evaluation of LLMs  - Compare performance of LLM for specific tasks  - Benchmark the fine-tuning performance  - Rail guard the LLM responses - Coding exercise: Introduction and revision of Hugging Face Transformers  - Revision of using Transformers for LLM influence  - Fine tuning a LLM with transformers  Part 2  - Presentation: Introduction of Lighteval  - What is Lighteval and what can it do  - Different tasks and metrics available in Lighteval - Coding exercise: Using Lighteval to compare LLMs  - Familiar the use of Lighteval  - Compare two LLMs on Hugging Face Hub  - Experiment with different tasks and metrics  Part 3  - Presentation: Advance use of Lighteval  - Introduction of custom tasks and metrics  - What is needed for creating custom tasks and metrics  - How to put custom tasks and metrics together - Coding exercise: Practice with custom tasks and metrics  - Uploading datasets to Hugging Face Hub  - Creating custom tasks and metrics  - Using custom tasks and metrics to compare LLMs	Cheuk Ting Ho		English				Cheuk_Ting_Ho
sunday	16:00-18:00	E.HG 204	W	Data validation with pointblank	Data validation comprises a crucial step in each data-centric project. This part enables the data scientist to understand which aspects to focus on during data cleaning. Furthermore, building and executing machine learning models as well as performing subsequent data analysis on clean data substantially improves the results.   This workshop will provide some guidance to the participants to run data validation in Python with pointblank. Essential validation patterns are demonstrated while teaching best practices with regards to coding, configuration, environments and versioning in mind. Data validation is demonstrated for both notebook environments and CLI applications, for instance when workflow management tools are used for production-ready code. The participants should gain experience with data validation and feel confident integrating this step in their daily data analysis.   This workshop is addressed to intermediate Python developers and data scientists. A general understanding of Python fundamentals is expected. A general understanding of data science workflows, e.g. as outlined by Hadley Wickham would be helpful. Version control, virtual environments, workflow management and a general understanding of data frame manipulation is beneficial as well.	Johannes Werner		English	Checked			Johannes_Werner
monday	10:00-12:00	E.HG 204	W	Ready, set, publish - Write your first Python Package	This session walks through the full journey of creating your first Python package using Poetry - from project setup to publishing. We will explore how to write and structure tests, use pre‑commit hooks to automatically format and lint your code, and run everything inside reproducible Dev Containers.	Linda Kolb		English	Checked			Linda_Kolb
sunday	10:00-12:00	E.HG 207	W	Code organization for non-engineers	Have you ever opened a piece of code that seems to break just by looking at it—and noticed that your coworker wrote it? You don’t want to be *that* person. While tangled, hard-to-maintain code can emerge for many reasons, it should never be by accident.  In this hands-on workshop, you will learn how to make code easier to maintain and to evolve. We will gradually refactor a messy Python application into a well-organized, testable software. You will develop a mental model for organizing code effectively and understand how its structure impacts code quality. Ultimately, this will inform future decisions on design and code organization.  This workshop is specifically designed for people who don't identify as software engineers or don't perform typical software engineering tasks as part of their daily work. Participants should be familiar with basic Python programming and the concept of automated (unit) tests.	Michael Seifert		English or German				Michael_Seifert
sunday	14:00-16:00	E.HG 207	W	(Pre-)Commit to Better Code	# Abstract Maintaining code quality can be challenging, no matter the size of your project or number of contributors. Different team members may have different opinions on code styling and preferences for code structure, while solo contributors might find themselves spending a considerable amount of time making sure the code conforms to accepted conventions. However, manually inspecting and fixing issues in files is both tedious and error-prone. As such, computers are much more suited to this task than humans. Pre-commit hooks are a great way to have a computer handle this for you.  Pre-commit hooks are code checks that run whenever you attempt to commit your changes with Git. They can detect and, in some cases, automatically correct code-quality issues *before* they make it to your codebase. In this tutorial, you will learn how to install and configure pre-commit hooks for your repository to ensure that only code that passes your checks makes it into your codebase. We will also explore how to build custom pre-commit hooks for novel use cases.  # Description ## Section 1: Setting Up Pre-Commit Hooks  After laying the foundation with an overview of Git hooks, we will discuss the use cases for hooks at the pre-commit stage (called pre-commit hooks), as well as a high-level explanation of how to set them up without any external tools. We will then introduce the `pre-commit` tool and disambiguate it from pre-commit hooks, before commencing a detailed walkthrough of the pre-commit hooks setup process when using `pre-commit`.  ## Section 2: Creating a Pre-Commit Hook While there are a lot of pre-made hooks in existence, sometimes they aren't sufficient for the task at hand. In this section, we will walk step-by-step through the process of creating and distributing a custom hook. After wiring everything up, we will discuss best practices for sharing, documenting, testing, and maintaining the codebase.  # Audience This tutorial is for anyone with intermediate knowledge of Python and basic knowledge of `git`. You must be comfortable writing Python code and working with `git` on the command line and using basic commands (`git clone`, `git add`, `git status`, `git commit`, `git push`). Attendees should have Python and `git` installed on their computers, as well as a text editor for writing code (e.g., Visual Studio Code).  # Prerequisites  - Comfort writing Python code and working with Git on the command line using basic commands (e.g., clone, status, diff, add, commit, and push) - Have Python and Git installed on your computers, as well as a text editor for writing code (e.g., Visual Studio Code)	Stefanie Molin		English				Stefanie_Molin
sunday	10:00-12:00	E.HG 209	W	Workshop: Learn to Unlock Document Intelligence with Open-Source AI	Most organizational knowledge is still locked inside complex documents, making it difficult to extract and use the information effectively. Traditional tools often fail when working with real-world document formats, particularly PDFs. Tables lose their structure, figures get separated from captions, and multi-column layouts become unreadable text. These failures make it difficult to bring AI to document-heavy workflows.  This workshop will give you hands on experience with Docling, an open source Python library that takes a different approach, using deep learning models to parse documents the way humans read them. It preserves hierarchy, extracts structured data through a consistent API, and supports 15+ file formats out of the box. All of Docling is MIT-licensed, enabling fully local execution, allowing you to keep sensitive data on-premise while delivering low-latency processing and ingestion.  You'll be building a complete document intelligence pipeline from the ground up. We'll work through three progressive modules: first, converting documents and exploring Docling's enrichment features like table detection and image classification; second, chunking strategies that preserve document semantics for retrieval; and finally, building on all our other components using Docling, we will build a multimodal RAG pipeline with visual grounding, creating an application that can cite the exact page and location where it found an answer.  No prior experience with Docling is required. Colab notebooks with hosted model endpoints will be provided, so you can follow along with just a browser. Attendees who prefer local execution should have Jupyter Notebook installed and the ability to download models from Hugging Face. Bring your own documents to experiment with, or use the samples provided.	Mingxuan Zhao	Carol Chen	English				Mingxuan_Zhao
sunday	09:30-10:00	HS1	T	conference opening		various speakers		English				
sunday	10:00-11:00	HS1	T	Let Developers Write Python, Not YAML	GitOps promises simplicity, but for many Python developers, infrastructure still lives in a different world : full of YAML, cloud jargon, and tools they never signed up to learn. At scale, this disconnect slows teams down and turns platform engineers into full-time translators.  In this talk, I’ll show how building internal Python SDKs transformed that relationship.  Instead of asking developers to write YAML or understand Terraform, we exposed infrastructure and GitOps workflows as idiomatic Python libraries -with clear APIs, semantic versioning, type hints, and CI/CD integration. Developers could provision resources and deploy services using tools and patterns they already knew, while platform teams kept control, safety, and GitOps guarantees.  You’ll learn how internal SDKs can:  - Abstract infrastructure complexity without hiding important behavior - Feel like “normal Python code,” not infrastructure tooling - Integrate cleanly into GitHub Actions and existing developer workflows - Improve developer confidence, velocity, and overall experience  This talk is for Python developers who want better ways to interact with infrastructure - and for platform engineers who want GitOps adoption without forcing everyone to “learn YAML first.”  If you’ve ever heard “I don’t speak YAML”, this talk will show how Python SDKs can become the missing bridge between GitOps and real-world developer experience.	Shahar Shporer		English		canceled		Shahar_Shporer
sunday	10:00-11:00	HS1	T	Vibe coding using Aider?	tbd	Ralf Schlatterbeck		English				
